State	Up	Down	Left	Right
(2, 1, 4, 2)	-721.4541111275164	-720.8989163739486	-720.9636929149947	-721.0826064210703
(2, 1, 4, 3)	0	0	0	0
(2, 1, 4, 4)	-484.60077383374926	-485.0020478597021	-486.1549362474044	-484.7323886214118
(2, 1, 4, 5)	-392.4012218287022	-416.8595060311885	-391.9514159256364	-391.2897665399092
(2, 1, 4, 6)	-211.67501043852954	-240.2668780029678	-211.72366582051237	-210.71356363228495
(2, 1, 4, 7)	-76.5981068119332	-111.90213792611866	-76.85880393628614	-76.09520127384705
(2, 1, 4, 8)	-84.67967137122868	-94.11466202556451	-84.48547760708618	-84.06633734746973
(2, 1, 4, 9)	-64.7838690622698	-63.53548505724258	-63.95974272910134	-64.08991999940831
(2, 1, 4, 10)	-82.19860932400869	-112.56749374710853	-80.94642308311813	-81.67071741819963
(2, 1, 4, 11)	0	0	0	0
(2, 1, 4, 12)	0	0	0	0
(2, 1, 4, 13)	0	0	0	0
(2, 1, 5, 0)	0	0	0	0
(2, 1, 5, 1)	0	0	0	0
(2, 1, 5, 2)	0	0	0	0
(2, 1, 5, 3)	0	0	0	0
(2, 1, 5, 4)	0	0	0	0
(2, 1, 5, 5)	0	0	0	0
(2, 1, 5, 6)	0	0	0	0
(2, 1, 5, 7)	0	0	0	0
(2, 1, 5, 8)	0	0	0	0
(2, 1, 5, 9)	0	0	0	0
(2, 1, 5, 10)	0	0	0	0
(2, 1, 5, 11)	0	0	0	0
(2, 1, 5, 12)	0	0	0	0
(2, 1, 5, 13)	0	0	0	0
(2, 2, 0, 0)	0	0	0	0
(2, 2, 0, 1)	0	0	0	0
(2, 2, 0, 2)	0	0	0	0
(2, 2, 0, 3)	0	0	0	0
(2, 2, 0, 4)	0	0	0	0
(2, 2, 0, 5)	0	0	0	0
(2, 2, 0, 6)	0	0	0	0
(2, 2, 0, 7)	0	0	0	0
(2, 2, 0, 8)	0	0	0	0
(2, 2, 0, 9)	0	0	0	0
(2, 2, 0, 10)	0	0	0	0
(2, 2, 0, 11)	0	0	0	0
(2, 2, 0, 12)	0	0	0	0
(2, 2, 0, 13)	0	0	0	0
(2, 2, 1, 0)	0	0	0	0
(2, 2, 1, 1)	-301.402243788111	-1018.9541633804696	-553.8614785547786	-421.6960665024337
(2, 2, 1, 2)	-304.2389528998342	-957.8617174679083	-592.3057206185343	-644.4822755811265
(2, 2, 1, 3)	-289.69417378691935	-1014.999874949634	-275.6455490038472	-384.3016774338098
(2, 2, 1, 4)	-587.7531965693366	-955.9780169419142	-380.0549502454874	-629.8425743057924
(2, 2, 1, 5)	-568.1629204961234	-967.1921937229506	-569.6968772448674	-566.768353561564
